upload1	2019-09-01	14291
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1	2019-09-01	2107
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1	2019-09-01	1654
toolshed.g2.bx.psu.edu/repos/peterjc/blast_rbh/blast_reciprocal_best_hits/0.1.11	2019-09-01	1429
CONVERTER_gz_to_uncompressed	2019-09-01	1054
toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17	2019-09-01	1041
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0	2019-09-01	882
__SET_METADATA__	2019-09-01	773
toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.4.7.0	2019-09-01	670
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastp_wrapper/0.3.3	2019-09-01	616
toolshed.g2.bx.psu.edu/repos/bgruening/autodock_vina/docking/0.2.1	2019-09-01	552
toolshed.g2.bx.psu.edu/repos/devteam/fasta_to_tabular/fasta2tab/1.1.0	2019-09-01	483
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.4.3.1	2019-09-01	478
toolshed.g2.bx.psu.edu/repos/devteam/fasta_filter_by_length/fasta_filter_by_length/1.1	2019-09-01	457
toolshed.g2.bx.psu.edu/repos/devteam/fastx_collapser/cshl_fastx_collapser/1.0.1	2019-09-01	455
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop/0.2.3	2019-09-01	407
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.4	2019-09-01	389
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.27.1	2019-09-01	385
toolshed.g2.bx.psu.edu/repos/iuc/miniasm/miniasm/0.2+galaxy0	2019-09-01	321
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/3.0.2.0	2019-09-01	319
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy5	2019-09-01	317
toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.1.1	2019-09-01	310
Filter1	2019-09-01	304
toolshed.g2.bx.psu.edu/repos/crs4/ssake/ssake/0.0.10	2019-09-01	297
toolshed.g2.bx.psu.edu/repos/crs4/edena/edena_ovl_wrapper/0.3	2019-09-01	296
velvetg	2019-09-01	296
velveth	2019-09-01	296
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0	2019-09-01	295
ebi_sra_main	2019-09-01	294
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/3.0.2.0	2019-09-01	281
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/3.0.2.0	2019-09-01	276
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.32.3	2019-09-01	263
Grep1	2019-09-01	236
Cut1	2019-09-01	218
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4	2019-09-01	212
toolshed.g2.bx.psu.edu/repos/iuc/annotatemyids/annotatemyids/3.7.0+galaxy1	2019-09-01	201
toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.4.1	2019-09-01	183
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy/3.2+galaxy1	2019-09-01	180
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.2b	2019-09-01	176
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.9.1	2019-09-01	175
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.27.1+galaxy1	2019-09-01	173
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.7	2019-09-01	173
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.36.5	2019-09-01	164
toolshed.g2.bx.psu.edu/repos/iuc/umi_tools_count/umi_tools_count/0.5.3.2	2019-09-01	163
toolshed.g2.bx.psu.edu/repos/iuc/edger/edger/3.24.1+galaxy1	2019-09-01	160
toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.1.20160309.6	2019-09-01	156
toolshed.g2.bx.psu.edu/repos/devteam/fastx_trimmer/cshl_fastx_trimmer/1.0.2	2019-09-01	156
toolshed.g2.bx.psu.edu/repos/devteam/fastq_to_fasta/cshl_fastq_to_fasta/1.0.0	2019-09-01	156
toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1	2019-09-01	156
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.3+galaxy2	2019-09-01	153
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta/1.1.0	2019-09-01	148
ucsc_table_direct1	2019-09-01	142
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.6.0b-2	2019-09-01	138
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool/1.1.1	2019-09-01	133
toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/3.0.2.0	2019-09-01	133
toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2/2.11.40.6	2019-09-01	126
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.19.5	2019-09-01	122
toolshed.g2.bx.psu.edu/repos/iuc/mothur_summary_seqs/mothur_summary_seqs/1.39.5.0	2019-09-01	119
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool/1.1.0	2019-09-01	118
toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3	2019-09-01	116
toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot/0.0.3	2019-09-01	115
Summary_Statistics1	2019-09-01	114
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.3.6	2019-09-01	108
Remove beginning1	2019-09-01	106
toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0	2019-09-01	106
toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0	2019-09-01	105
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1	2019-09-01	105
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt/1.16.5	2019-09-01	100
toolshed.g2.bx.psu.edu/repos/earlhaminst/t_coffee/t_coffee/11.0.8	2019-09-01	95
toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.1.1	2019-09-01	92
toolshed.g2.bx.psu.edu/repos/bgruening/hicexplorer_hicplottads/hicexplorer_hicplottads/2.1.4.0	2019-09-01	92
toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.9.1.3	2019-09-01	90
toolshed.g2.bx.psu.edu/repos/bgruening/canu/canu/1.8	2019-09-01	90
toolshed.g2.bx.psu.edu/repos/iuc/bandage/bandage_image/0.8.1+galaxy1	2019-09-01	90
CONVERTER_interval_to_bedstrict_0	2019-09-01	89
toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0.1	2019-09-01	88
join1	2019-09-01	84
toolshed.g2.bx.psu.edu/repos/iuc/egsea/egsea/1.10.0	2019-09-01	84
toolshed.g2.bx.psu.edu/repos/iuc/plasflow/PlasFlow/1.0	2019-09-01	82
toolshed.g2.bx.psu.edu/repos/iuc/newick_utils/newick_display/1.6	2019-09-01	79
toolshed.g2.bx.psu.edu/repos/rnateam/mirdeep2_mapper/rbc_mirdeep2_mapper/2.0.0	2019-09-01	78
toolshed.g2.bx.psu.edu/repos/rnateam/mirdeep2/rbc_mirdeep2/2.0.0	2019-09-01	77
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.4+galaxy1	2019-09-01	76
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0	2019-09-01	75
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.13	2019-09-01	73
toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.39.5.0	2019-09-01	72
toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.39.5.0	2019-09-01	72
toolshed.g2.bx.psu.edu/repos/iuc/mothur_unique_seqs/mothur_unique_seqs/1.39.5.0	2019-09-01	72
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate/0.8	2019-09-01	72
toolshed.g2.bx.psu.edu/repos/iuc/mothur_screen_seqs/mothur_screen_seqs/1.39.5.0	2019-09-01	71
sort1	2019-09-01	71
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2	2019-09-01	67
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2	2019-09-01	66
cat1	2019-09-01	65
toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.1	2019-09-01	65
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0	2019-09-01	64
CONVERTER_fastq_to_fqtoc0	2019-09-01	64
