3	2013-02-07	7	Remove beginning1	1.0.0	5	Grep1	1.0.1
3	2013-02-07	10	addValue	1.0.0	11	Paste1	1.0.0
4	2013-02-07	18	addValue	1.0.0	16	wc_gnu	1.0.0
5	2013-02-07	59	Paste1	1.0.0	27	Cut1	1.0.1
5	2013-02-07	59	Paste1	1.0.0	28	Cut1	1.0.1
5	2013-02-07	64	Add_a_column1	1.1.0	36	Paste1	1.0.0
5	2013-02-07	26	cat1	1.0.0	37	addValue	1.0.0
5	2013-02-07	46	Summary_Statistics1	1.1.0	39	Filter1	1.1.0
5	2013-02-07	44	Filter1	1.1.0	40	gops_coverage_1	1.0.0
5	2013-02-07	32	Cut1	1.0.1	49	Summary_Statistics1	1.1.0
5	2013-02-07	63	Add_a_column1	1.1.0	60	Paste1	1.0.0
5	2013-02-07	38	addValue	1.0.0	62	Add_a_column1	1.1.0
5	2013-02-07	48	addValue	1.0.0	65	Add_a_column1	1.1.0
6	2013-02-07	70	cshl_awk_tool1	1.0.0	71		
9	2013-02-07	87	addValue	1.0.0	88	Paste1	1.0.0
11	2013-02-07	136	cat1	1.0.0	135	addValue	1.0.0
11	2013-02-07	177	Paste1	1.0.0	139	Cut1	1.0.1
11	2013-02-07	147	Paste1	1.0.0	141	Cut1	1.0.1
11	2013-02-07	175	Add_a_column1	1.1.0	147	Paste1	1.0.0
11	2013-02-07	156	Summary_Statistics1	1.1.0	150	Filter1	1.1.0
11	2013-02-07	154	Filter1	1.1.0	151	gops_coverage_1	1.0.0
11	2013-02-07	162	Summary_Statistics1	1.1.0	152	cshl_grep_tool	1.0.0
11	2013-02-07	161	Summary_Statistics1	1.1.0	153	Filter1	1.1.0
11	2013-02-07	167	Summary_Statistics1	1.1.0	154	Filter1	1.1.0
11	2013-02-07	165	Summary_Statistics1	1.1.0	155	Filter1	1.1.0
11	2013-02-07	164	Summary_Statistics1	1.1.0	155	Filter1	1.1.0
11	2013-02-07	142	Cut1	1.0.1	160	Summary_Statistics1	1.1.0
11	2013-02-07	144	Cut1	1.0.1	162	Summary_Statistics1	1.1.0
11	2013-02-07	140	Cut1	1.0.1	166	Summary_Statistics1	1.1.0
11	2013-02-07	173	Add_a_column1	1.1.0	170	Paste1	1.0.0
11	2013-02-07	158	addValue	1.0.0	175	Add_a_column1	1.1.0
11	2013-02-07	159	addValue	1.0.0	176	Add_a_column1	1.1.0
11	2013-02-07	172	Add_a_column1	1.1.0	177	Paste1	1.0.0
11	2013-02-07	151	gops_coverage_1	1.0.0	179		
12	2013-02-07	189	barchart_gnuplot	1.0.0	180	cat1	1.0.0
12	2013-02-07	180	cat1	1.0.0	187	Count1	1.0.0
19	2013-02-14	194	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1		193		
19	2013-02-14	194	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1		195		
19	2013-02-14	205	gops_subtract_1	1.0.0	199		
19	2013-02-14	202	get_flanks1	1.0.0	203		
19	2013-02-14	211	Show beginning1	1.0.0	209	Extract genomic DNA 1	2.2.2
19	2013-02-14	216	barchart_gnuplot	1.0.0	215	Count1	1.0.0
28	2013-02-14	243	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1	242		
29	2013-02-14	246	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1	247		
29	2013-02-14	257	gops_subtract_1	1.0.0	253	cshl_find_and_replace	1.0.0
29	2013-02-14	253	cshl_find_and_replace	1.0.0	254	get_flanks1	1.0.0
29	2013-02-14	258	cshl_awk_tool		257	gops_subtract_1	1.0.0
29	2013-02-14	259	Extract genomic DNA 1	2.2.2	258	cshl_awk_tool	
29	2013-02-14	268	barchart_gnuplot	1.0.0	267	Count1	1.0.0
68	2013-02-18	415	barchart_gnuplot	1.0.0	414	Count1	1.0.0
72	2013-02-18	427	barchart_gnuplot	1.0.0	426	Count1	1.0.0
73	2013-02-18	429	Count1	1.0.0	428		
75	2013-02-18	437	barchart_gnuplot		436	Count1	
77	2013-02-18	443	Count1	1.0.0	442		
78	2013-02-18	446	Count1	1.0.0	445		
78	2013-02-18	447	barchart_gnuplot	1.0.0	446	Count1	1.0.0
80	2013-02-18	463	Count1	1.0.0	462		
81	2013-02-18	466	addValue	1.0.0	465		
81	2013-02-18	467	mergeCols1	1.0.1	466	addValue	1.0.0
